legacy_product_id,legacy_category_id,model_or_name_zh,name_ja,name_en,legacy_thumbnail_url,legacy_detail_url,migration_status
2,10,AB-06H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/14/f8a7e857-968b-4007-8bc2-c86c9d828e14.jpg,http://www.asd-esd.cn/Home/Details?value=2,pending_translation
3,10,AB-10H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/14/ed690cdd-c531-43be-8fd3-b36b7f75671d.jpg,http://www.asd-esd.cn/Home/Details?value=3,pending_translation
4,10,AB-21H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/14/5e6a53af-e9b0-495b-9c72-7379d498abd4.jpg,http://www.asd-esd.cn/Home/Details?value=4,pending_translation
5,10,AB-21H(F),,,http://www.asd-esd.cn/data/image/product_logo2017/03/14/37b53131-5a1e-4652-9540-dc923c692680.jpg,http://www.asd-esd.cn/Home/Details?value=5,pending_translation
34,10,AB-30H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/21/e4d1ea07-8bd9-4af9-a2db-bffab9288122.jpg,http://www.asd-esd.cn/Home/Details?value=34,pending_translation
7,10,AB-50H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/21/2bc2ee19-dfb9-4341-95f8-fe806585157a.jpg,http://www.asd-esd.cn/Home/Details?value=7,pending_translation
8,10,AB-60H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/22/91813404-6d83-45d1-87ba-f1c286147ee5.jpg,http://www.asd-esd.cn/Home/Details?value=8,pending_translation
9,10,AB-110H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/07/e8575735-5dc6-4508-bb08-336f2c9818a2.jpg,http://www.asd-esd.cn/Home/Details?value=9,pending_translation
10,10,AB-120H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/07/2aa70b35-b2cb-4028-b932-bf250decb873.jpg,http://www.asd-esd.cn/Home/Details?value=10,pending_translation
11,10,AB-130H,,,http://www.asd-esd.cn/data/image/product_logo2017/03/07/adaa1f6b-1d5f-4a4a-a9d1-7f61346d24ce.jpg,http://www.asd-esd.cn/Home/Details?value=11,pending_translation
44,20,防静电透气鞋,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/4ab5b25b-4212-4ecf-a144-72354d5452d4.png,http://www.asd-esd.cn/Home/Details?value=44,pending_translation
45,20,防静电布鞋,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/1240a241-6718-4be1-9a55-241723ffa39a.png,http://www.asd-esd.cn/Home/Details?value=45,pending_translation
46,20,防静电（长/短统）套靴,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/b0ec676f-254e-42cb-a3d4-511bdddd6e81.png,http://www.asd-esd.cn/Home/Details?value=46,pending_translation
40,20,防静电分体服,,,http://www.asd-esd.cn/data/image/product_logo2020/06/15/26bf57d6-624f-49a0-b0c8-e8b4104dadd5.jpg,http://www.asd-esd.cn/Home/Details?value=40,pending_translation
42,20,防静电大褂,,,http://www.asd-esd.cn/data/image/product_logo2020/06/16/a93eae8b-c273-46a9-bc77-7418b642c762.png,http://www.asd-esd.cn/Home/Details?value=42,pending_translation
48,20,防静电软底靴,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/a9629fb5-4816-42a0-be3b-b01b0f885e39.png,http://www.asd-esd.cn/Home/Details?value=48,pending_translation
47,20,防静电拖鞋,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/56b070f5-3b21-4c1d-bc32-3a17465a4da4.png,http://www.asd-esd.cn/Home/Details?value=47,pending_translation
50,20,静电安全鞋,,,http://www.asd-esd.cn/data/image/product_logo2020/06/21/0bb76f96-9c0c-4473-a265-39998fdee19e.png,http://www.asd-esd.cn/Home/Details?value=50,pending_translation
38,20,连体服,,,http://www.asd-esd.cn/data/image/product_logo2020/06/27/ba767c7b-2ee8-4be1-be13-7da64fd731b0.png,http://www.asd-esd.cn/Home/Details?value=38,pending_translation
39,21,防静电台垫,,,http://www.asd-esd.cn/data/image/product_logo2020/06/15/7f3386e1-60cb-4c65-8fa7-3797570d663c.jpg,http://www.asd-esd.cn/Home/Details?value=39,pending_translation
41,21,无味防滑静电台垫,,,http://www.asd-esd.cn/data/image/product_logo2020/06/16/38462b22-6d1c-4376-b347-a414d8f9f97d.png,http://www.asd-esd.cn/Home/Details?value=41,pending_translation
49,21,防静电门/窗帘,,,http://www.asd-esd.cn/data/image/product_logo2020/06/20/d66d5abb-950c-4922-b7d3-a8b105db6ba9.png,http://www.asd-esd.cn/Home/Details?value=49,pending_translation
53,22,静电棉棒,,,http://www.asd-esd.cn/data/image/product_logo2020/06/23/7dd3d44e-405f-473f-952f-cdb9d3ae0d2d.jpg,http://www.asd-esd.cn/Home/Details?value=53,pending_translation
