api_id,api_format,field_id,field_type,required,localized,description
site-settings,object,companyNameZh,text,yes,zh,中国語の正式会社名
site-settings,object,companyNameJa,text,yes,ja,日本語の正式会社名
site-settings,object,companyNameEn,text,yes,en,英語の正式会社名
site-settings,object,addressZh,textarea,no,zh,中国語の住所
site-settings,object,addressJa,textarea,no,ja,日本語の住所
site-settings,object,addressEn,textarea,no,en,英語の住所
site-settings,object,phone,text,no,shared,代表電話
site-settings,object,mobile,text,no,shared,携帯電話
site-settings,object,fax,text,no,shared,FAX番号
site-settings,object,email,text,no,shared,公開用メールアドレス
site-settings,object,contactPerson,text,no,shared,担当者名
site-settings,object,logo,image,no,shared,承認済みロゴ
site-settings,object,socialLinks,repeated-group,no,shared,プラットフォームとURL
company-profile,object,headlineZh,text,yes,zh,中国語の見出し
company-profile,object,headlineJa,text,yes,ja,日本語の見出し
company-profile,object,headlineEn,text,yes,en,英語の見出し
company-profile,object,bodyZh,rich-editor,yes,zh,中国語の会社紹介本文
company-profile,object,bodyJa,rich-editor,yes,ja,日本語の会社紹介本文
company-profile,object,bodyEn,rich-editor,yes,en,英語の会社紹介本文
company-profile,object,heroImage,image,no,shared,会社紹介のメイン画像
company-profile,object,metaDescriptionZh,textarea,no,zh,中国語SEO説明
company-profile,object,metaDescriptionJa,textarea,no,ja,日本語SEO説明
company-profile,object,metaDescriptionEn,textarea,no,en,英語SEO説明
product-categories,list,slug,text,yes,shared,言語共通のURL識別子
product-categories,list,legacyCategoryId,number,no,shared,旧サイトカテゴリID
product-categories,list,displayOrder,number,yes,shared,表示順
product-categories,list,nameZh,text,yes,zh,中国語カテゴリ名
product-categories,list,nameJa,text,yes,ja,日本語カテゴリ名
product-categories,list,nameEn,text,yes,en,英語カテゴリ名
product-categories,list,descriptionZh,rich-editor,no,zh,中国語説明
product-categories,list,descriptionJa,rich-editor,no,ja,日本語説明
product-categories,list,descriptionEn,rich-editor,no,en,英語説明
product-categories,list,image,image,no,shared,カテゴリ画像
products,list,slug,text,yes,shared,言語共通のURL識別子
products,list,legacyProductId,number,no,shared,旧サイト製品ID
products,list,modelNumber,text,yes,shared,型番
products,list,category,reference,yes,shared,product-categoriesへの参照
products,list,displayOrder,number,yes,shared,表示順
products,list,nameZh,text,yes,zh,中国語製品名
products,list,nameJa,text,yes,ja,日本語製品名
products,list,nameEn,text,yes,en,英語製品名
products,list,summaryZh,textarea,no,zh,中国語概要
products,list,summaryJa,textarea,no,ja,日本語概要
products,list,summaryEn,textarea,no,en,英語概要
products,list,bodyZh,rich-editor,no,zh,中国語詳細
products,list,bodyJa,rich-editor,no,ja,日本語詳細
products,list,bodyEn,rich-editor,no,en,英語詳細
products,list,thumbnail,image,no,shared,一覧画像
products,list,gallery,multiple-images,no,shared,詳細画像
products,list,specifications,repeated-group,no,shared,仕様名と値
products,list,documents,multiple-files,no,shared,PDFカタログや仕様書
news,list,slug,text,yes,shared,言語共通のURL識別子
news,list,announcementDate,date,yes,shared,サイトに表示する掲載日。microCMSの予約済み日時フィールドは使用しない
news,list,titleZh,text,yes,zh,中国語タイトル
news,list,titleJa,text,yes,ja,日本語タイトル
news,list,titleEn,text,yes,en,英語タイトル
news,list,bodyZh,rich-editor,yes,zh,中国語本文
news,list,bodyJa,rich-editor,yes,ja,日本語本文
news,list,bodyEn,rich-editor,yes,en,英語本文
news,list,thumbnail,image,no,shared,一覧画像
